Channel_0,Channel_1
236.20605,230.10254
236.20605,233.76465
247.19238,234.98535
238.03711,232.54395
238.03711,235.5957
241.08887,222.77832
241.08887,228.27148
239.86816,223.38867
234.375,225.83008
231.32324,225.21973
234.98535,221.55762
228.27148,225.83008
234.375,221.55762
229.49219,226.44043
232.54395,216.6748
228.27148,228.27148
236.8164,228.27148
229.49219,225.21973
234.98535,234.98535
239.86816,230.71289
234.98535,233.76465
242.91992,228.27148
239.25781,222.77832
244.14062,223.38867
236.20605,217.28516
245.97168,222.16797
233.1543,221.55762
231.32324,222.16797
224.60938,220.94727
233.1543,217.28516
233.1543,219.72656
231.9336,219.72656
229.49219,213.62305
226.44043,217.89551
233.76465,214.2334
233.1543,219.11621
230.10254,227.05078
236.20605,224.60938
246.58203,227.05078
236.8164,225.83008
241.08887,223.99902
231.9336,216.6748
227.66113,217.28516
222.77832,217.28516
223.99902,219.11621
222.16797,214.84375
225.83008,221.55762
225.21973,223.38867
227.05078,217.28516
227.66113,221.55762
225.83008,221.55762
229.49219,219.11621
223.99902,216.6748
228.27148,227.05078
226.44043,230.10254
237.42676,231.9336
236.8164,226.44043
233.1543,222.16797
244.75098,220.94727
235.5957,218.50586
234.375,223.99902
228.27148,217.89551
233.1543,217.89551
226.44043,225.83008
230.71289,223.99902
221.55762,218.50586
223.99902,218.50586
228.27148,216.6748
222.77832,223.38867
228.27148,219.72656
232.54395,227.05078
231.32324,235.5957
234.98535,230.71289
243.53027,234.375
238.64746,228.27148
239.86816,223.99902
237.42676,220.94727
237.42676,222.16797
230.71289,222.16797
230.10254,222.77832
234.98535,220.94727
224.60938,223.99902
231.9336,223.38867
226.44043,220.94727
233.76465,215.4541
232.54395,215.4541
225.83008,207.51953
228.27148,216.06445
227.05078,222.77832
230.10254,223.99902
236.20605,227.05078
239.25781,216.06445
242.30957,222.16797
239.25781,216.6748
230.10254,217.89551
234.375,209.35059
234.375,213.0127
226.44043,213.62305
227.66113,214.2334
233.1543,218.50586
223.99902,210.57129
233.1543,215.4541
224.60938,220.33691
229.49219,220.94727
219.72656,213.0127
227.05078,223.38867
231.9336,224.60938
238.03711,226.44043
239.25781,229.49219
242.30957,225.21973
241.69922,225.21973
